nsn,action_date,country,origin
1660016004909,2017-11-01,UNITED STATES,United States
1660016004909,2017-11-01,UNITED STATES,United States
1660016004909,2019-06-06,UNITED STATES,United States
1660016004909,2023-12-26,UNITED STATES,United States
1680016229189,2020-01-24,UNITED STATES,United States
1680016229189,2021-03-10,UNITED STATES,United States
1680016229189,2022-05-20,UNITED STATES,United States
1680016229189,2022-10-05,MALAYSIA,Other
1680016229189,2022-10-05,MALAYSIA,Other
1680016229189,2024-11-26,UNITED STATES,United States
2895145543146,2018-08-24,UNITED STATES,United States
2895145543146,2019-08-26,UNITED STATES,United States
2895145543146,2023-03-27,SPAIN,Other
2895145543146,2024-01-04,FRANCE,Other
3990015742050,2016-11-17,UNITED STATES,United States
3990015742050,2016-11-17,UNITED STATES,United States
3990015742050,2016-11-17,UNITED STATES,United States
3990015742050,2016-12-28,CHINA,China
3990015742050,2017-09-21,CHINA,China
3990015742050,2017-12-22,UNITED STATES,United States
3990015742050,2018-01-30,UNITED STATES,United States
3990015742050,2018-06-29,CHINA,China
3990015742050,2018-07-23,UNITED STATES,United States
3990015742050,2019-05-16,UNITED STATES,United States
3990015742050,2019-05-16,UNITED STATES,United States
3990015742050,2019-12-16,UNITED STATES,United States
3990015742050,2020-01-23,CHINA,China
3990015742050,2020-01-23,CHINA,China
3990015742050,2020-04-20,CHINA,China
3990015742050,2020-04-20,CHINA,China
3990015742050,2020-08-08,CHINA,China
3990015742050,2020-11-19,CHINA,China
3990015742050,2021-01-15,UNITED STATES,United States
3990015742050,2021-03-10,CHINA,China
3990015742050,2021-06-24,CHINA,China
3990015742050,2021-10-04,UNITED STATES,United States
3990015742050,2023-02-16,CHINA,China
3990015742050,2023-02-27,CHINA,China
3990015742050,2023-04-20,CHINA,China
3990015742050,2023-04-20,CHINA,China
3990015742050,2023-08-30,CHINA,China
3990015742050,2023-11-03,CHINA,China
3990015742050,2023-11-03,CHINA,China
3990015742050,2024-07-24,CHINA,China
3990015742050,2024-08-20,CHINA,China
3990015742050,2025-11-14,CHINA,China
4240015387970,2016-12-19,UNITED STATES,United States
4240015387970,2017-02-06,UNITED STATES,United States
4240015387970,2017-05-16,UNITED STATES,United States
4240015387970,2017-10-18,UNITED STATES,United States
4240015387970,2018-04-12,UNITED STATES,United States
4240015387970,2019-08-27,UNITED STATES,United States
4240015387970,2019-08-27,UNITED STATES,United States
4240015387970,2020-06-22,UNITED STATES,United States
4240015387970,2020-06-22,UNITED STATES,United States
4240015387970,2020-12-18,UNITED STATES,United States
4240015387970,2021-02-04,UNITED STATES,United States
4240015387970,2021-05-14,UNITED STATES,United States
4240015387970,2021-09-09,UNITED STATES,United States
4240015387970,2023-03-07,CHINA,China
4240015387970,2023-03-07,CHINA,China
4240015387970,2023-06-30,CHINA,China
4510015272274,2016-10-17,UNITED STATES,United States
4510015272274,2016-10-24,UNITED STATES,United States
4510015272274,2016-11-08,UNITED STATES,United States
4510015272274,2017-07-27,UNITED STATES,United States
4510015272274,2017-08-09,UNITED STATES,United States
4510015272274,2017-10-10,UNITED STATES,United States
4510015272274,2017-11-02,UNITED STATES,United States
4510015272274,2019-01-31,UNITED STATES,United States
4510015272274,2019-02-05,CHINA,China
4510015272274,2019-03-26,CHINA,China
4510015272274,2020-04-02,CHINA,China
4510015272274,2020-06-30,CHINA,China
4510015272274,2020-11-16,UNITED STATES,United States
4510015272274,2021-01-12,UNITED STATES,United States
4510015272274,2021-06-24,CHINA,China
4510015272274,2021-08-16,UNITED STATES,United States
4510015272274,2023-04-05,CHINA,China
4510015272274,2023-04-05,CHINA,China
4510015272274,2024-05-09,UNITED STATES,United States
4510015272274,2024-11-15,CHINA,China
4510015272274,2026-01-09,UNITED STATES,United States
