treated_nsn,outcome,n_treated_eys,treated_eys,n_pre_eys,n_post_eys,n_candidates_pre_coverage,n_balanced_pool,out_path
3990015742050,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,14568,data/donor_pools/dla_only/3990015742050__max_log_unit_price.parquet
3990015742050,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2554,data/donor_pools/dla_only/3990015742050__mean_offers.parquet
3990015742050,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,11769,data/donor_pools/dla_only/3990015742050__domestic_share.parquet
4240015387970,max_log_unit_price,5,"-5,-4,-3,-2,0",4,1,372250,25351,data/donor_pools/dla_only/4240015387970__max_log_unit_price.parquet
4240015387970,mean_offers,5,"-5,-4,-3,-2,0",4,1,320638,7304,data/donor_pools/dla_only/4240015387970__mean_offers.parquet
4240015387970,domestic_share,5,"-5,-4,-3,-2,0",4,1,364189,23846,data/donor_pools/dla_only/4240015387970__domestic_share.parquet
4510015272274,max_log_unit_price,7,"-5,-4,-3,-2,0,1,2",4,3,372250,16273,data/donor_pools/dla_only/4510015272274__max_log_unit_price.parquet
4510015272274,mean_offers,7,"-5,-4,-3,-2,0,1,2",4,3,320638,3235,data/donor_pools/dla_only/4510015272274__mean_offers.parquet
4510015272274,domestic_share,7,"-5,-4,-3,-2,0,1,2",4,3,364189,13596,data/donor_pools/dla_only/4510015272274__domestic_share.parquet
8150014633177,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,15548,data/donor_pools/dla_only/8150014633177__max_log_unit_price.parquet
8150014633177,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2974,data/donor_pools/dla_only/8150014633177__mean_offers.parquet
8150014633177,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,14049,data/donor_pools/dla_only/8150014633177__domestic_share.parquet
8150014638553,max_log_unit_price,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,372250,11585,data/donor_pools/dla_only/8150014638553__max_log_unit_price.parquet
8150014638553,mean_offers,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,320638,1694,data/donor_pools/dla_only/8150014638553__mean_offers.parquet
8150014638553,domestic_share,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,364189,7440,data/donor_pools/dla_only/8150014638553__domestic_share.parquet
8150014638555,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,15525,data/donor_pools/dla_only/8150014638555__max_log_unit_price.parquet
8150014638555,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,3132,data/donor_pools/dla_only/8150014638555__mean_offers.parquet
8150014638555,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,13728,data/donor_pools/dla_only/8150014638555__domestic_share.parquet
8150014813740,max_log_unit_price,6,"-5,-4,-3,-1,0,1",4,2,372250,19028,data/donor_pools/dla_only/8150014813740__max_log_unit_price.parquet
8150014813740,mean_offers,6,"-5,-4,-3,-1,0,1",4,2,320638,4328,data/donor_pools/dla_only/8150014813740__mean_offers.parquet
8150014813740,domestic_share,6,"-5,-4,-3,-1,0,1",4,2,364189,15860,data/donor_pools/dla_only/8150014813740__domestic_share.parquet
8150014813741,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,15510,data/donor_pools/dla_only/8150014813741__max_log_unit_price.parquet
8150014813741,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2927,data/donor_pools/dla_only/8150014813741__mean_offers.parquet
8150014813741,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,13905,data/donor_pools/dla_only/8150014813741__domestic_share.parquet
8150014839115,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,14743,data/donor_pools/dla_only/8150014839115__max_log_unit_price.parquet
8150014839115,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2613,data/donor_pools/dla_only/8150014839115__mean_offers.parquet
8150014839115,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,12202,data/donor_pools/dla_only/8150014839115__domestic_share.parquet
8150014839121,max_log_unit_price,5,"-4,-3,-2,-1,0",4,1,372250,27420,data/donor_pools/dla_only/8150014839121__max_log_unit_price.parquet
8150014839121,mean_offers,5,"-4,-3,-2,-1,0",4,1,320638,8603,data/donor_pools/dla_only/8150014839121__mean_offers.parquet
8150014839121,domestic_share,5,"-4,-3,-2,-1,0",4,1,364189,26577,data/donor_pools/dla_only/8150014839121__domestic_share.parquet
8150014839123,max_log_unit_price,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,372250,8813,data/donor_pools/dla_only/8150014839123__max_log_unit_price.parquet
8150014839123,mean_offers,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,320638,1222,data/donor_pools/dla_only/8150014839123__mean_offers.parquet
8150014839123,domestic_share,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,364189,7776,data/donor_pools/dla_only/8150014839123__domestic_share.parquet
8150014839125,max_log_unit_price,6,"-5,-3,-2,-1,0,1",4,2,372250,20642,data/donor_pools/dla_only/8150014839125__max_log_unit_price.parquet
8150014839125,mean_offers,6,"-5,-3,-2,-1,0,1",4,2,320638,4807,data/donor_pools/dla_only/8150014839125__mean_offers.parquet
8150014839125,domestic_share,6,"-5,-3,-2,-1,0,1",4,2,364189,17102,data/donor_pools/dla_only/8150014839125__domestic_share.parquet
8150014912678,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,15584,data/donor_pools/dla_only/8150014912678__max_log_unit_price.parquet
8150014912678,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2979,data/donor_pools/dla_only/8150014912678__mean_offers.parquet
8150014912678,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,14022,data/donor_pools/dla_only/8150014912678__domestic_share.parquet
8150015012741,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,15111,data/donor_pools/dla_only/8150015012741__max_log_unit_price.parquet
8150015012741,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2830,data/donor_pools/dla_only/8150015012741__mean_offers.parquet
8150015012741,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,13175,data/donor_pools/dla_only/8150015012741__domestic_share.parquet
8150015134913,max_log_unit_price,7,"-5,-4,-3,-2,-1,0,1",5,2,372250,17148,data/donor_pools/dla_only/8150015134913__max_log_unit_price.parquet
8150015134913,mean_offers,6,"-5,-4,-3,-2,-1,0",5,1,320638,5730,data/donor_pools/dla_only/8150015134913__mean_offers.parquet
8150015134913,domestic_share,6,"-5,-4,-3,-2,-1,0",5,1,364189,20971,data/donor_pools/dla_only/8150015134913__domestic_share.parquet
8150015148414,max_log_unit_price,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,372250,8813,data/donor_pools/dla_only/8150015148414__max_log_unit_price.parquet
8150015148414,mean_offers,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,320638,1222,data/donor_pools/dla_only/8150015148414__mean_offers.parquet
8150015148414,domestic_share,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,364189,7776,data/donor_pools/dla_only/8150015148414__domestic_share.parquet
8150015338673,max_log_unit_price,7,"-5,-4,-3,-2,-1,0,1",5,2,372250,17148,data/donor_pools/dla_only/8150015338673__max_log_unit_price.parquet
8150015338673,mean_offers,7,"-5,-4,-3,-2,-1,0,1",5,2,320638,3558,data/donor_pools/dla_only/8150015338673__mean_offers.parquet
8150015338673,domestic_share,7,"-5,-4,-3,-2,-1,0,1",5,2,364189,14335,data/donor_pools/dla_only/8150015338673__domestic_share.parquet
8150015338674,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,15362,data/donor_pools/dla_only/8150015338674__max_log_unit_price.parquet
8150015338674,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2928,data/donor_pools/dla_only/8150015338674__mean_offers.parquet
8150015338674,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,13623,data/donor_pools/dla_only/8150015338674__domestic_share.parquet
8150015338675,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,14750,data/donor_pools/dla_only/8150015338675__max_log_unit_price.parquet
8150015338675,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2618,data/donor_pools/dla_only/8150015338675__mean_offers.parquet
8150015338675,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,12222,data/donor_pools/dla_only/8150015338675__domestic_share.parquet
8150015338677,max_log_unit_price,7,"-5,-4,-3,-2,-1,0,1",5,2,372250,17148,data/donor_pools/dla_only/8150015338677__max_log_unit_price.parquet
8150015338677,mean_offers,7,"-5,-4,-3,-2,-1,0,1",5,2,320638,3558,data/donor_pools/dla_only/8150015338677__mean_offers.parquet
8150015338677,domestic_share,7,"-5,-4,-3,-2,-1,0,1",5,2,364189,14335,data/donor_pools/dla_only/8150015338677__domestic_share.parquet
8150015741682,max_log_unit_price,6,"-5,-4,-3,-1,0,1",4,2,372250,19028,data/donor_pools/dla_only/8150015741682__max_log_unit_price.parquet
8150015741682,mean_offers,6,"-5,-4,-3,-1,0,1",4,2,320638,4328,data/donor_pools/dla_only/8150015741682__mean_offers.parquet
8150015741682,domestic_share,6,"-5,-4,-3,-1,0,1",4,2,364189,15860,data/donor_pools/dla_only/8150015741682__domestic_share.parquet
