"treated_nsn","fsg","n_donors_complete","n_donors_same_fsg","n_matched","status"
"1660016004909","16",63936,2191,3,"ok"
"1680016229189","16",19740,634,0,"treated_row_has_non_finite_covariate:mean_max_log_unit_price"
"2895145543146","28",37330,425,3,"ok"
"3990015742050","39",9336,24,3,"ok"
"4240015387970","42",17583,384,3,"ok"
"4510015272274","45",10599,33,3,"ok"
"8150014633177","81",10257,91,3,"ok"
"8150014638553","81",8737,94,3,"ok"
"8150014638555","81",11382,96,3,"ok"
"8150014813740","81",12329,101,3,"ok"
"8150014813741","81",10076,90,3,"ok"
"8150014839115","81",9455,85,3,"ok"
"8150014839121","81",19471,150,3,"ok"
"8150014839123","81",5449,55,3,"ok"
"8150014839125","81",13646,102,3,"ok"
"8150014886545","81",13117,103,3,"ok"
"8150014912678","81",10367,95,3,"ok"
"8150014912727","81",21081,151,3,"ok"
"8150015012741","81",9837,85,3,"ok"
"8150015134913","81",10874,94,3,"ok"
"8150015148414","81",5449,55,3,"ok"
"8150015338673","81",10874,94,3,"ok"
"8150015338674","81",10021,90,3,"ok"
"8150015338675","81",9465,84,3,"ok"
"8150015338677","81",10874,94,3,"ok"
"8150015737424","81",34224,250,3,"ok"
"8150015741682","81",12329,101,3,"ok"
